<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
RIC,20210827,20.2,21,20.1,20.85,18400
ROS,20210827,4.82,4.84,4.74,4.8,8572500
S4A,20210827,27.2,27.6,27,27.5,18800
SAB,20210827,147.3,149,145.7,148.5,137300
SAM,20210827,9.5,9.6,9.36,9.6,71000
SAV,20210827,23.9,24.6,23.9,24.4,5300
SBA,20210827,16.5,16.55,16.45,16.5,67300
SBT,20210827,21.3,22.15,21.3,21.65,5070900
SBV,20210827,15.6,16.6,15.4,16.5,338200
SCD,20210827,19.2,19.5,19.2,19.5,2000
SCR,20210827,10.3,10.55,10.15,10.55,6235800
SCS,20210827,138,139.9,138,139.5,11700
SFG,20210827,11.6,11.6,11.3,11.5,71300
SFI,20210827,46.9,48.4,46.9,48.2,74500
SGN,20210827,65.3,65.8,65,65.8,11300
SGR,20210827,23,23,22.5,22.8,10400
SGT,20210827,18.5,19.3,18.4,19.1,152100
SHA,20210827,5.91,5.99,5.9,5.98,120800
SHI,20210827,18.5,19.25,18.4,19.05,780000
SHP,20210827,22.2,22.2,22.2,22.2,2000
SJD,20210827,17.2,17.4,17.15,17.3,67100
SJF,20210827,3.75,3.95,3.75,3.94,1362000
SJS,20210827,65,65,63.5,64.1,30600
SKG,20210827,12,12.4,11.95,12.4,831400
SMA,20210827,8.94,8.94,8.9,8.9,1700
SMB,20210827,41,41,41,41,100
SMC,20210827,45.5,46.8,44.75,46.4,782700
SPM,20210827,24.7,24.7,24.7,24.7,14000
SRC,20210827,17.5,17.6,17.2,17.5,7100
SRF,20210827,12.6,12.85,12.6,12.65,1200
SSB,20210827,35.3,35.35,34.2,35.35,3167600
SSI,20210827,60.2,61.4,59.8,61.2,10605600
ST8,20210827,10.1,10.1,10.1,10.1,1200
STB,20210827,27,27.3,26.55,27.3,16479200
STG,20210827,26.3,26.3,25.55,25.6,39700
STK,20210827,47.5,48.5,46.5,46.6,40000
SVD,20210827,8.24,8.37,8.2,8.37,42400
SVI,20210827,76.4,76.4,76.4,76.4,200
SVT,20210827,16,16,16,16,300
SZC,20210827,44.35,46.1,43.7,46.1,1428200
SZL,20210827,55.1,55.1,54,55,7300
TAC,20210827,54.5,55.9,54,55.9,11800
TBC,20210827,30,30.2,29.75,29.8,12000
TCB,20210827,47.8,48.15,47,48.05,19689500
TCD,20210827,19.5,20,19.2,19.7,454200
TCH,20210827,18.2,18.45,17.95,18.4,3817000
TCL,20210827,39.25,39.85,38.8,39.2,312400
TCM,20210827,71.1,73,70.9,72,1096600
TCO,20210827,19.8,20.5,19.1,20,253000
TCR,20210827,3.7,3.76,3.7,3.76,700
TCT,20210827,26,26.5,26,26.5,8300
TDC,20210827,18.9,19.6,18.6,19.5,408500
TDG,20210827,4.3,4.35,4.04,4.17,704900
TDH,20210827,7.12,7.22,7.05,7.22,622400
TDM,20210827,30,30.5,29.55,30.4,1165400
TDP,20210827,27.95,27.95,27.1,27.1,34600
TDW,20210827,34.45,35,34.45,35,1400
TEG,20210827,12.1,12.4,11.75,12.35,208700
TGG,20210827,27.3,27.5,26.5,27,458400
THG,20210827,67.5,69,66.5,69,20600
TIP,20210827,40.8,42,40.05,41.9,126100
TIX,20210827,32.5,32.5,32,32,300
TLD,20210827,6.04,6.19,5.98,6.18,412000
TLG,20210827,42,44,41.85,43.7,128400
TLH,20210827,17.05,17.8,16.7,17.7,1950000
TMP,20210827,41.95,41.95,41.95,41.95,100
TMS,20210827,52.6,53.5,52.6,53.4,22000
TMT,20210827,9.85,10.35,9.85,10.35,47800
TN1,20210827,37.2,37.2,37,37.2,9900
TNA,20210827,13,13,12.5,12.6,268900
TNH,20210827,39.2,41.15,38.65,41,1097400
TNI,20210827,3.46,3.58,3.46,3.57,651600
TNT,20210827,8.3,8.69,8.3,8.66,181900
TPB,20210827,33.65,34.75,33.45,34,2387500
TPC,20210827,10.2,10.2,9.37,9.41,5400
TRA,20210827,96.9,96.9,91.5,91.8,38300
TRC,20210827,38,38.1,38,38.1,4200
TSC,20210827,11.35,11.45,10.8,11.3,1936800
TTA,20210827,13.7,14.3,13.55,14.3,1536500
TTB,20210827,6.1,6.3,6.07,6.3,398000
TTF,20210827,6.86,7.2,6.86,7.15,6057700
TV2,20210827,54.8,55.9,54.2,55,418800
TVS,20210827,32.5,33,31.35,32.6,200600
TVT,20210827,25.1,25.5,25,25.5,7900
TYA,20210827,17,17.1,16.75,17.1,30800
UDC,20210827,7.34,7.38,6.88,7.36,19900
UIC,20210827,66.6,67.1,65.8,66.9,124000
VCA,20210827,14.8,15.2,14.75,15.15,32100
VCB,20210827,96,98.5,96,97.8,1106600
VCG,20210827,41.7,42.85,41.7,42.4,381600
VCI,20210827,57.9,59.9,57.3,59.8,4332900
VDP,20210827,37.7,40.3,37.6,40.3,36000
VDS,20210827,28.4,29.2,27.6,29.2,1039700
VGC,20210827,33.6,34.2,32.95,34.15,1236400
VHC,20210827,45.7,46.9,44.8,46.8,1864100
VHM,20210827,106,106.9,105,106.9,9953900
VIB,20210827,35.6,36.3,34.5,36,1539400
VIC,20210827,93,95,91.5,94.8,2485900
VID,20210827,9.49,9.49,8.82,9,4000
VIP,20210827,8.15,8.35,8.05,8.22,370600
VIS,20210827,16.25,17.3,16.25,17.2,1700
VIX,20210827,26.3,28.1,25.65,28.1,6261900
VJC,20210827,126.1,126.8,124.8,126.8,1411900
VMD,20210827,67.4,67.4,67.4,67.4,28800
VNE,20210827,7.7,7.98,7.6,7.98,330900
VNG,20210827,12.35,12.4,12.25,12.35,203500
VNL,20210827,23.05,23.5,22.75,23,65700
VNM,20210827,87.4,87.5,86.7,87,2346900
VOS,20210827,14.45,14.45,14,14.45,6448800
VPB,20210827,60.2,61.2,59.8,61.2,6435800
VPD,20210827,14,14.3,14,14.3,30500
VPG,20210827,53,53.5,52.7,53.1,319000
VPH,20210827,5.34,5.36,5.23,5.32,82400
VPI,20210827,41.4,41.7,40.8,41.7,1266500
VPS,20210827,15,16.05,15,16.05,62000
VRC,20210827,7.22,7.5,7.2,7.39,72600
VRE,20210827,26.45,26.8,26.3,26.8,2874100
VSC,20210827,66.2,67.1,65.4,66.5,39900
VSH,20210827,27.3,28.5,27,28.1,138800
VSI,20210827,23.5,23.5,21.5,23.5,16000
VTB,20210827,11.35,11.4,11.1,11.4,2900
VTO,20210827,10.4,10.8,10.3,10.8,1295200
YBM,20210827,6.8,6.86,6.71,6.82,10400
YEG,20210827,15.2,15.2,14.8,15.1,153300
